indicator,threat_type,severity,first_seen,source,description
http://verify9.example.org/login,phishing,high,2026-08-04T00:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
46dc23f17af1e98d44a665647ab08a0ee0cc56c9f6e2ce65e7a3c7362d01e48b,botnet,medium,2026-08-01T15:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
203.0.113.231,unknown,low,2026-08-01T18:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
9c5f08129c20ad20e7914990b58acdf1e6d9eafbf0e6ab4f78d788401537bc3c,botnet,medium,2026-08-03T03:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
login12.example.com,botnet,low,2026-08-03T21:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
,phishing,high,2026-08-01T09:00:00,opensource_feed_a,empty indicator
198.51.100.40,botnet,high,2026-08-03T18:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
198.51.100.53,data_exfiltration,low,2026-08-02T15:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
94f04a77d7e764bf99097e8754600b1a7e2b0ac78ae963ae28a4f34cced1d2c2,malware_delivery,low,2026-08-01T21:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.168,command_and_control,high,2026-08-03T09:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
mail10.example.com,data_exfiltration,medium,2026-08-03T11:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
203.0.113.67,command_and_control,high,2026-08-03T03:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
7954c79e9614e0ad32cc12bde8b476c868586153383901047786718bdf1bff27,unknown,low,2026-08-02T15:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
fe2dc056701762f77761080acdf664d6,botnet,medium,2026-08-03T01:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.9,data_exfiltration,critical,2026-08-01T09:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
login3.example.com,brute_force,low,2026-08-02T00:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
b216950169e541f7de9fc199684cbbe8263f81cc,botnet,critical,2026-08-03T05:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
b359301bb97bf3d1af83db6e3e6261e42e88b99426fe2006f2de96684cee08cf,botnet,medium,2026-08-01T09:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
dc6e4b622f9d0c32af9417877f83290ff92d2be5,malware_delivery,high,2026-08-02T11:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
192.0.2.232,malware_delivery,high,2026-08-01T15:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
cdn2.example.com,botnet,medium,2026-08-01T19:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
e744e5b776c0db750bc92c35ba87c0ec,unknown,critical,2026-08-02T13:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
198.51.100.87,scanning,high,2026-08-05T21:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.232,malware_delivery,high,2026-08-01T15:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.191,phishing,medium,2026-08-02T06:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
update15.example.com,scanning,low,2026-08-04T12:00:00,opensource_feed_b,Synthetic sample record for pipeline demonstration
login3.example.com,brute_force,low,2026-08-02T00:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
192.0.2.233,command_and_control,low,2026-08-04T21:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
c50dc19c37b78f0b846ffc74cd479726245ae7d5,botnet,low,2026-08-02T17:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
203.0.113.227,data_exfiltration,low,2026-08-03T00:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
http://account10.example.org/login,phishing,high,2026-08-04T07:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
http://secure14.example.org/login,phishing,medium,2026-08-05T11:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.208,data_exfiltration,medium,2026-08-03T15:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
192.0.2.153,brute_force,critical,2026-08-02T00:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
login6.example.com,command_and_control,low,2026-08-02T15:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
e744e5b776c0db750bc92c35ba87c0ec,unknown,critical,2026-08-02T13:00:00,opensource_feed_a,Synthetic sample record for pipeline demonstration
198.51.100.201,botnet,medium,2026-08-03T06:00:00,internal_soc_export,Synthetic sample record for pipeline demonstration
