indicator,indicator_type,threat_type,severity,source,first_seen,label
api17.example.com,domain,command_and_control,low,opensource_feed_b,2026-06-22T01:00:00,suspicious
http://verify18.example.org/login,url,malware_delivery,medium,internal_soc_export,2026-06-12T08:00:00,malicious
198.51.100.211,ipv4,phishing,critical,opensource_feed_b,2026-06-16T20:00:00,malicious
192.0.2.178,ipv4,malware_delivery,high,internal_soc_export,2026-07-19T12:00:00,malicious
fdcafd7498b9a51b2b792519ff78c1a35cdf219c,sha1,phishing,low,opensource_feed_a,2026-06-23T11:00:00,benign
static22.example.com,domain,command_and_control,medium,opensource_feed_b,2026-07-23T03:00:00,suspicious
18858e7aa0e89d0adaf2d0a1004c0951d3057567,sha1,brute_force,medium,opensource_feed_a,2026-08-07T06:00:00,benign
03ccc41f71da1dbcfeaff890ba77e93a847fe193656ea0329cbf9216301473d9,sha256,unknown,critical,opensource_feed_b,2026-07-18T15:00:00,benign
bae82bf15cd8276bf711ed1c716dc0410937fc31c44d14c2e89d6427da91fa02,sha256,data_exfiltration,low,internal_soc_export,2026-06-19T18:00:00,suspicious
http://verify26.example.org/a,url,phishing,high,internal_soc_export,2026-08-07T11:00:00,malicious
http://verify27.example.org/login,url,malware_delivery,high,opensource_feed_a,2026-07-10T04:00:00,malicious
mail28.example.com,domain,data_exfiltration,critical,opensource_feed_a,2026-06-11T19:00:00,malicious
192.0.2.84,ipv4,unknown,critical,opensource_feed_b,2026-06-13T09:00:00,suspicious
http://img30.example.org/download,url,command_and_control,medium,internal_soc_export,2026-07-14T10:00:00,suspicious
7ac450606ad59529d8a6ec4974722ae62356679d,sha1,unknown,high,opensource_feed_b,2026-06-23T21:00:00,suspicious
198.51.100.112,ipv4,brute_force,medium,opensource_feed_a,2026-06-24T07:00:00,benign
update33.example.com,domain,command_and_control,high,internal_soc_export,2026-06-22T09:00:00,malicious
198.51.100.113,ipv4,unknown,critical,opensource_feed_b,2026-07-02T19:00:00,benign
203.0.113.23,ipv4,brute_force,medium,opensource_feed_b,2026-07-09T08:00:00,benign
192.0.2.72,ipv4,phishing,low,opensource_feed_b,2026-06-11T02:00:00,suspicious
203.0.113.42,ipv4,phishing,low,opensource_feed_a,2026-06-24T04:00:00,suspicious
static38.example.com,domain,command_and_control,medium,opensource_feed_a,2026-07-15T22:00:00,malicious
203.0.113.138,ipv4,command_and_control,high,opensource_feed_b,2026-06-20T00:00:00,suspicious
cad3f22becb1015e81d0d5d9ec48283cdea6974a,sha1,unknown,low,opensource_feed_b,2026-07-04T17:00:00,benign
192.0.2.234,ipv4,scanning,medium,opensource_feed_a,2026-06-14T00:00:00,benign
http://account42.example.org/download,url,data_exfiltration,low,internal_soc_export,2026-06-23T07:00:00,suspicious
http://verify43.example.org/download,url,phishing,low,internal_soc_export,2026-06-02T04:00:00,suspicious
update44.example.com,domain,phishing,low,opensource_feed_a,2026-07-22T13:00:00,suspicious
9ae46ab7e7ef58ad7779989cd573379ee73db7bb,sha1,command_and_control,medium,opensource_feed_b,2026-06-30T16:00:00,suspicious
f0c9d112a6a459ad6cdb5ad159bb835d,md5,brute_force,low,opensource_feed_b,2026-08-07T07:00:00,benign
192.0.2.78,ipv4,unknown,medium,opensource_feed_b,2026-08-02T05:00:00,benign
6a66c0b6303c36589931496651a1e5d9,md5,botnet,medium,internal_soc_export,2026-06-25T09:00:00,suspicious
14fd61743bad9f2fe56840050e9b9b32069c5ec370332d82dfdac2916d59320f,sha256,malware_delivery,low,internal_soc_export,2026-07-29T03:00:00,benign
static50.example.com,domain,brute_force,low,opensource_feed_a,2026-07-01T09:00:00,benign
198.51.100.209,ipv4,scanning,medium,opensource_feed_b,2026-06-24T12:00:00,benign
c8d55de8758fec6db6e55606e955cbae7c58dfa8,sha1,unknown,critical,internal_soc_export,2026-06-09T09:00:00,suspicious
198.51.100.250,ipv4,botnet,low,opensource_feed_b,2026-07-31T11:00:00,benign
http://verify54.example.org/a,url,scanning,medium,opensource_feed_b,2026-08-07T02:00:00,benign
f4854f04412012b2a251d7b62f0b4c3a,md5,command_and_control,high,opensource_feed_a,2026-06-08T04:00:00,suspicious
http://secure56.example.org/a,url,scanning,low,opensource_feed_a,2026-06-15T15:00:00,benign
d684cac54d51f3fa9d12e61c2261c3d2bf5cf1ca9de597e16b0cc4e2980002fc,sha256,scanning,low,opensource_feed_a,2026-06-30T15:00:00,benign
api58.example.com,domain,data_exfiltration,medium,opensource_feed_a,2026-06-24T20:00:00,suspicious
203.0.113.27,ipv4,malware_delivery,medium,opensource_feed_b,2026-06-24T01:00:00,suspicious
192.0.2.10,ipv4,data_exfiltration,high,opensource_feed_b,2026-07-06T07:00:00,malicious
198.51.100.250,ipv4,scanning,medium,opensource_feed_a,2026-07-29T08:00:00,benign
237877160787ec71129fa21cacc83fe139e527cd34ed437a8c17601039ea6009,sha256,brute_force,critical,internal_soc_export,2026-08-03T08:00:00,suspicious
http://secure63.example.org/a,url,malware_delivery,medium,opensource_feed_a,2026-08-10T10:00:00,malicious
cdn64.example.com,domain,botnet,low,internal_soc_export,2026-08-09T04:00:00,suspicious
login65.example.com,domain,brute_force,critical,internal_soc_export,2026-06-14T08:00:00,malicious
198.51.100.227,ipv4,unknown,medium,opensource_feed_a,2026-07-26T09:00:00,benign
fe449ef84f373c36a33dbc1d1a2567c5,md5,command_and_control,medium,opensource_feed_a,2026-06-01T00:00:00,suspicious
198.51.100.29,ipv4,brute_force,low,opensource_feed_a,2026-06-10T23:00:00,benign
69341f07590acc6d7af5e7f83ac2da14e51051e5ce8c0726cf7dca013d37bf7a,sha256,phishing,high,internal_soc_export,2026-08-09T19:00:00,suspicious
bf3794a7de7c0b0de064b3f94444b0f0dd64aa55,sha1,data_exfiltration,high,internal_soc_export,2026-07-30T18:00:00,malicious
192.0.2.160,ipv4,data_exfiltration,medium,internal_soc_export,2026-06-29T05:00:00,suspicious
mail72.example.com,domain,command_and_control,high,internal_soc_export,2026-08-02T07:00:00,malicious
192.0.2.113,ipv4,unknown,medium,internal_soc_export,2026-06-05T10:00:00,benign
198.51.100.253,ipv4,command_and_control,medium,internal_soc_export,2026-06-12T16:00:00,suspicious
192.0.2.95,ipv4,malware_delivery,high,internal_soc_export,2026-08-07T11:00:00,malicious
cdn76.example.com,domain,brute_force,low,opensource_feed_b,2026-07-28T07:00:00,benign
198.51.100.213,ipv4,command_and_control,critical,opensource_feed_a,2026-08-09T13:00:00,malicious
api78.example.com,domain,phishing,high,opensource_feed_b,2026-06-04T20:00:00,suspicious
198.51.100.24,ipv4,scanning,high,internal_soc_export,2026-06-18T16:00:00,suspicious
198.51.100.201,ipv4,unknown,medium,internal_soc_export,2026-07-21T21:00:00,benign
198.51.100.76,ipv4,malware_delivery,medium,internal_soc_export,2026-08-07T17:00:00,suspicious
http://verify82.example.org/login,url,unknown,high,internal_soc_export,2026-06-28T01:00:00,suspicious
http://verify83.example.org/download,url,unknown,medium,opensource_feed_b,2026-07-21T18:00:00,benign
198.51.100.216,ipv4,botnet,high,internal_soc_export,2026-08-10T16:00:00,suspicious
http://secure85.example.org/login,url,phishing,medium,opensource_feed_a,2026-07-24T22:00:00,malicious
http://img86.example.org/login,url,botnet,low,opensource_feed_a,2026-07-14T17:00:00,suspicious
http://secure87.example.org/a,url,command_and_control,low,opensource_feed_a,2026-06-03T02:00:00,suspicious
37cd2a5b16d1db9b2a7560498e7e08af,md5,command_and_control,high,opensource_feed_b,2026-07-12T09:00:00,malicious
198.51.100.212,ipv4,botnet,medium,opensource_feed_b,2026-06-22T21:00:00,suspicious
203.0.113.84,ipv4,unknown,medium,internal_soc_export,2026-06-21T23:00:00,benign
198.51.100.62,ipv4,malware_delivery,medium,internal_soc_export,2026-07-11T16:00:00,suspicious
c924e06910de7b30c4d7b57bea934640eb8e304eb7752c9d2ed1730a3169ba96,sha256,scanning,medium,opensource_feed_a,2026-06-13T03:00:00,benign
api93.example.com,domain,phishing,low,internal_soc_export,2026-08-06T23:00:00,benign
login94.example.com,domain,scanning,high,opensource_feed_a,2026-06-17T10:00:00,suspicious
http://secure95.example.org/download,url,phishing,low,internal_soc_export,2026-06-29T12:00:00,suspicious
192.0.2.48,ipv4,botnet,low,opensource_feed_a,2026-06-07T13:00:00,benign
http://verify97.example.org/login,url,phishing,low,opensource_feed_a,2026-07-04T18:00:00,benign
api98.example.com,domain,command_and_control,medium,opensource_feed_a,2026-07-14T11:00:00,suspicious
9fc40e0ead29449106cb7265f98214ad64a2baa38384fa55caff46d9935551f5,sha256,malware_delivery,high,opensource_feed_a,2026-06-25T19:00:00,malicious
http://verify100.example.org/index,url,unknown,high,opensource_feed_b,2026-07-01T06:00:00,suspicious
http://files101.example.org/a,url,phishing,medium,internal_soc_export,2026-07-10T02:00:00,suspicious
198.51.100.197,ipv4,botnet,medium,internal_soc_export,2026-07-16T00:00:00,suspicious
http://account103.example.org/login,url,malware_delivery,low,internal_soc_export,2026-07-14T02:00:00,suspicious
192.0.2.16,ipv4,command_and_control,medium,opensource_feed_a,2026-06-01T10:00:00,suspicious
api105.example.com,domain,scanning,medium,opensource_feed_a,2026-07-18T17:00:00,benign
198.51.100.239,ipv4,command_and_control,medium,opensource_feed_b,2026-06-14T09:00:00,suspicious
192.0.2.254,ipv4,data_exfiltration,medium,opensource_feed_a,2026-06-28T01:00:00,suspicious
e075e5743dc82ff2c69ebc190984076b46c00b3128586b6f2f19f540c6ec511f,sha256,scanning,high,opensource_feed_b,2026-07-21T13:00:00,suspicious
http://verify109.example.org/index,url,data_exfiltration,critical,opensource_feed_b,2026-06-25T01:00:00,malicious
198.51.100.151,ipv4,scanning,medium,opensource_feed_b,2026-07-04T06:00:00,benign
4f29a08dfa301e68745e40ba8d135ff4d1467206815add9e7de4cca4c4008e6f,sha256,phishing,high,internal_soc_export,2026-06-29T00:00:00,suspicious
198.51.100.128,ipv4,unknown,medium,internal_soc_export,2026-06-05T05:00:00,benign
b8b5fb4ed842a9feac8f939a4010f08c7f39fd69,sha1,phishing,medium,opensource_feed_b,2026-07-21T02:00:00,suspicious
192.0.2.177,ipv4,brute_force,medium,internal_soc_export,2026-08-07T02:00:00,benign
login115.example.com,domain,data_exfiltration,critical,opensource_feed_a,2026-06-13T13:00:00,malicious
192.0.2.180,ipv4,phishing,high,internal_soc_export,2026-06-03T16:00:00,suspicious
http://verify117.example.org/download,url,data_exfiltration,medium,opensource_feed_b,2026-08-04T15:00:00,malicious
85a500ad2f8fbf05afd2f3f58248ce6c3a74ccda30ad66bb40ca5d7efa071dfb,sha256,phishing,low,opensource_feed_a,2026-08-01T05:00:00,benign
static119.example.com,domain,data_exfiltration,medium,internal_soc_export,2026-07-02T08:00:00,suspicious
192.0.2.155,ipv4,data_exfiltration,critical,internal_soc_export,2026-07-07T19:00:00,malicious
203.0.113.68,ipv4,brute_force,medium,opensource_feed_a,2026-08-06T17:00:00,suspicious
198.51.100.102,ipv4,data_exfiltration,low,opensource_feed_b,2026-07-18T03:00:00,suspicious
192.0.2.173,ipv4,phishing,medium,internal_soc_export,2026-07-23T16:00:00,suspicious
8e8fe2163b7776c79eeab241559934651736e030,sha1,malware_delivery,medium,opensource_feed_a,2026-07-29T05:00:00,suspicious
static125.example.com,domain,botnet,medium,opensource_feed_b,2026-07-24T00:00:00,suspicious
203.0.113.232,ipv4,phishing,low,opensource_feed_a,2026-06-12T14:00:00,benign
198.51.100.122,ipv4,malware_delivery,high,opensource_feed_a,2026-06-13T03:00:00,suspicious
http://files128.example.org/a,url,command_and_control,high,internal_soc_export,2026-06-21T16:00:00,malicious
http://img129.example.org/login,url,unknown,medium,opensource_feed_a,2026-07-16T14:00:00,suspicious
api130.example.com,domain,botnet,medium,opensource_feed_a,2026-08-01T04:00:00,suspicious
192.0.2.176,ipv4,brute_force,medium,internal_soc_export,2026-07-17T14:00:00,suspicious
http://files132.example.org/index,url,brute_force,medium,opensource_feed_a,2026-07-24T11:00:00,suspicious
198.51.100.191,ipv4,phishing,high,opensource_feed_a,2026-07-19T14:00:00,suspicious
192.0.2.219,ipv4,brute_force,medium,opensource_feed_b,2026-08-10T11:00:00,benign
update135.example.com,domain,brute_force,low,opensource_feed_a,2026-07-03T12:00:00,benign
http://files136.example.org/a,url,phishing,critical,internal_soc_export,2026-07-25T21:00:00,malicious
http://files137.example.org/download,url,command_and_control,high,opensource_feed_b,2026-06-15T22:00:00,malicious
api138.example.com,domain,scanning,low,opensource_feed_a,2026-07-06T05:00:00,benign
51c59a86485d4980eddbfc5e1794d482db9bd17d,sha1,phishing,low,internal_soc_export,2026-07-28T13:00:00,benign
198.51.100.17,ipv4,phishing,low,internal_soc_export,2026-07-22T07:00:00,benign
203.0.113.46,ipv4,scanning,high,internal_soc_export,2026-06-04T11:00:00,benign
203.0.113.93,ipv4,unknown,medium,opensource_feed_b,2026-08-08T19:00:00,benign
mail143.example.com,domain,brute_force,medium,opensource_feed_a,2026-07-30T17:00:00,suspicious
http://account144.example.org/a,url,scanning,medium,internal_soc_export,2026-07-24T06:00:00,suspicious
ad1570ce761c32f6f602a0fdc16d70a5,md5,command_and_control,critical,opensource_feed_b,2026-06-15T21:00:00,malicious
203.0.113.25,ipv4,command_and_control,high,opensource_feed_a,2026-06-26T07:00:00,malicious
192.0.2.238,ipv4,scanning,high,opensource_feed_b,2026-07-14T16:00:00,suspicious
e6e39bf3a0e3af658b55183c4c97e8335b979172a6f15ffed0b9ffa8305d49a8,sha256,unknown,high,opensource_feed_b,2026-06-06T09:00:00,suspicious
login149.example.com,domain,unknown,low,opensource_feed_a,2026-06-09T22:00:00,benign
165b31b40519d8a9387ff25c5d9d5984,md5,phishing,low,opensource_feed_b,2026-07-11T16:00:00,benign
b066c270ad9cacee3eecf3aaf9f8d13d,md5,command_and_control,high,internal_soc_export,2026-06-08T13:00:00,malicious
4faa020d659fd5110d4ca0d0042e6f81ee595544,sha1,botnet,critical,opensource_feed_a,2026-07-09T01:00:00,malicious
198.51.100.101,ipv4,phishing,medium,internal_soc_export,2026-06-19T09:00:00,malicious
43330a1660f90e08d75ebb091aec8eb17a5373de,sha1,command_and_control,high,internal_soc_export,2026-06-19T12:00:00,suspicious
4b4950d662a1e6a0ec54d89f45180c9aa5abc904,sha1,unknown,high,opensource_feed_a,2026-07-25T16:00:00,suspicious
http://verify156.example.org/download,url,command_and_control,low,opensource_feed_b,2026-08-04T21:00:00,suspicious
941048b3996336db14396d3ac6bf6eec,md5,botnet,low,internal_soc_export,2026-06-30T03:00:00,benign
a2b6bab6541659df533ef3e4f9a1ad13,md5,phishing,high,opensource_feed_b,2026-07-22T01:00:00,suspicious
203.0.113.133,ipv4,data_exfiltration,high,opensource_feed_b,2026-07-22T01:00:00,suspicious
198.51.100.180,ipv4,phishing,medium,opensource_feed_a,2026-06-29T02:00:00,suspicious
192.0.2.110,ipv4,unknown,low,opensource_feed_a,2026-07-26T19:00:00,benign
http://verify162.example.org/index,url,scanning,low,opensource_feed_b,2026-07-10T04:00:00,benign
http://files163.example.org/index,url,data_exfiltration,medium,opensource_feed_b,2026-07-13T14:00:00,suspicious
203.0.113.221,ipv4,botnet,low,opensource_feed_a,2026-06-19T03:00:00,benign
login165.example.com,domain,brute_force,high,opensource_feed_b,2026-06-26T06:00:00,suspicious
192.0.2.127,ipv4,malware_delivery,high,internal_soc_export,2026-07-13T07:00:00,suspicious
static167.example.com,domain,scanning,medium,opensource_feed_a,2026-06-29T05:00:00,benign
198.51.100.109,ipv4,unknown,critical,opensource_feed_a,2026-07-09T18:00:00,suspicious
e01995028fb319d140a69fc278037ffb45bee467d8997088c51c433e90aefc98,sha256,unknown,high,opensource_feed_a,2026-08-06T05:00:00,benign
818770e26f5cf1ca8c28d153d117ae8a,md5,malware_delivery,medium,internal_soc_export,2026-07-07T07:00:00,suspicious
198.51.100.162,ipv4,command_and_control,low,opensource_feed_b,2026-06-01T19:00:00,suspicious
http://verify172.example.org/index,url,scanning,high,opensource_feed_b,2026-07-04T15:00:00,suspicious
cdn173.example.com,domain,data_exfiltration,medium,opensource_feed_b,2026-07-21T00:00:00,suspicious
fee0dbba617cd99d662e6e6ca22bd7e9232cb674,sha1,unknown,high,opensource_feed_a,2026-06-04T20:00:00,suspicious
4b32cece780515fb908d6499e12c9ee353484346d1abac4b4684b7c94ab56287,sha256,command_and_control,critical,opensource_feed_b,2026-07-02T21:00:00,malicious
203.0.113.56,ipv4,command_and_control,medium,internal_soc_export,2026-06-01T06:00:00,suspicious
update177.example.com,domain,brute_force,critical,internal_soc_export,2026-06-08T12:00:00,suspicious
99e8ab22f24e52be5b59a53b4385d3a0,md5,botnet,high,opensource_feed_b,2026-07-23T06:00:00,malicious
192.0.2.116,ipv4,command_and_control,high,opensource_feed_b,2026-06-25T01:00:00,malicious
mail180.example.com,domain,unknown,critical,internal_soc_export,2026-06-12T11:00:00,suspicious
198.51.100.115,ipv4,malware_delivery,high,opensource_feed_a,2026-07-02T10:00:00,malicious
http://files182.example.org/a,url,malware_delivery,medium,opensource_feed_b,2026-07-15T10:00:00,suspicious
7878f664f6c2755dfb2a76c78289a0e9,md5,command_and_control,medium,opensource_feed_b,2026-07-12T04:00:00,suspicious
a10639a93c45940cfade2898107301a4b2cdc574ebc89b799967cf6aa7c329e4,sha256,command_and_control,low,opensource_feed_b,2026-08-09T16:00:00,suspicious
http://img185.example.org/a,url,botnet,high,internal_soc_export,2026-07-15T08:00:00,malicious
51c5776f8ad2913fb671a05695308ba61f5bf0cb66ef9bf74c0e042623b5a3f3,sha256,brute_force,high,opensource_feed_a,2026-07-24T21:00:00,suspicious
192.0.2.81,ipv4,unknown,high,opensource_feed_a,2026-06-05T06:00:00,suspicious
bb9476dfed8c66e9739bef596952b926,md5,malware_delivery,medium,opensource_feed_b,2026-07-10T13:00:00,suspicious
192.0.2.33,ipv4,data_exfiltration,low,opensource_feed_a,2026-07-20T21:00:00,suspicious
http://account190.example.org/download,url,malware_delivery,critical,opensource_feed_a,2026-08-03T06:00:00,malicious
07fe7e4fc755937116a396a9f5ed2d7a,md5,botnet,high,opensource_feed_b,2026-07-31T15:00:00,malicious
a338c78bd1279d67cbc1bfcd67fdad33,md5,botnet,low,opensource_feed_b,2026-06-18T09:00:00,benign
static193.example.com,domain,command_and_control,medium,internal_soc_export,2026-06-15T22:00:00,suspicious
785a6c026922e75ee92d20ceaeb27dfd2542d8f1a77a40f6963c309deb9d15b4,sha256,data_exfiltration,low,opensource_feed_a,2026-07-01T20:00:00,suspicious
mail195.example.com,domain,scanning,medium,internal_soc_export,2026-07-03T18:00:00,benign
198.51.100.38,ipv4,scanning,low,opensource_feed_b,2026-08-07T20:00:00,benign
198.51.100.230,ipv4,brute_force,high,internal_soc_export,2026-07-02T02:00:00,suspicious
update198.example.com,domain,malware_delivery,critical,opensource_feed_a,2026-06-07T09:00:00,malicious
static199.example.com,domain,malware_delivery,high,opensource_feed_b,2026-07-21T23:00:00,suspicious
57b7957433c7edbb984e2e350e4277895058ac1f6483dcce8c5ac744bdbcf4fa,sha256,brute_force,critical,internal_soc_export,2026-06-15T00:00:00,suspicious
84da8de6eaf851fc783a1a6d7a5b3820,md5,botnet,medium,opensource_feed_b,2026-06-15T17:00:00,suspicious
192.0.2.114,ipv4,botnet,critical,opensource_feed_b,2026-06-02T13:00:00,malicious
192.0.2.4,ipv4,malware_delivery,high,opensource_feed_a,2026-08-06T11:00:00,suspicious
198.51.100.105,ipv4,scanning,critical,opensource_feed_b,2026-07-27T18:00:00,suspicious
http://secure205.example.org/download,url,unknown,medium,internal_soc_export,2026-07-27T10:00:00,suspicious
http://secure206.example.org/a,url,malware_delivery,low,opensource_feed_a,2026-07-16T15:00:00,malicious
203.0.113.35,ipv4,brute_force,critical,opensource_feed_a,2026-07-09T21:00:00,suspicious
371702ac78cbfb3abf967c9947d2be06,md5,command_and_control,high,internal_soc_export,2026-06-29T00:00:00,malicious
update209.example.com,domain,phishing,low,internal_soc_export,2026-07-28T02:00:00,suspicious
7123f7d5483ddb5884905b81b6566655,md5,botnet,low,internal_soc_export,2026-06-18T04:00:00,benign
api211.example.com,domain,brute_force,medium,opensource_feed_b,2026-06-17T00:00:00,benign
http://account212.example.org/login,url,brute_force,high,opensource_feed_b,2026-07-15T11:00:00,suspicious
http://secure213.example.org/login,url,unknown,medium,internal_soc_export,2026-07-04T11:00:00,suspicious
update214.example.com,domain,unknown,medium,opensource_feed_a,2026-06-21T05:00:00,benign
update215.example.com,domain,unknown,high,internal_soc_export,2026-06-30T18:00:00,suspicious
http://verify216.example.org/login,url,malware_delivery,low,opensource_feed_a,2026-06-09T15:00:00,suspicious
192.0.2.218,ipv4,brute_force,medium,internal_soc_export,2026-06-21T14:00:00,benign
api218.example.com,domain,malware_delivery,high,opensource_feed_a,2026-06-28T01:00:00,suspicious
cdn219.example.com,domain,data_exfiltration,critical,opensource_feed_a,2026-07-17T11:00:00,malicious
0e7e7f2a3b8e542f87567cb9c80488a2,md5,brute_force,medium,opensource_feed_b,2026-06-25T14:00:00,benign
http://img221.example.org/download,url,data_exfiltration,low,opensource_feed_b,2026-06-23T10:00:00,suspicious
9d874bb47018cd634434600c44db90966d0ddabc,sha1,unknown,high,opensource_feed_a,2026-07-08T08:00:00,benign
61904b78922608cce5168fdef2e086f0,md5,malware_delivery,low,internal_soc_export,2026-06-01T12:00:00,benign
192.0.2.39,ipv4,unknown,high,opensource_feed_b,2026-06-09T11:00:00,suspicious
http://account225.example.org/login,url,scanning,low,opensource_feed_b,2026-06-04T22:00:00,benign
api226.example.com,domain,scanning,high,opensource_feed_a,2026-06-20T10:00:00,benign
http://account227.example.org/index,url,command_and_control,high,opensource_feed_b,2026-07-13T22:00:00,malicious
http://secure228.example.org/a,url,data_exfiltration,high,opensource_feed_a,2026-06-13T18:00:00,malicious
ea924b6f66cb214ae2fc28ec71f534879d204d1c,sha1,data_exfiltration,high,opensource_feed_b,2026-06-22T04:00:00,malicious
ad756c26b14cc848691082ed1f654dde5f9857de846365183e47922c39ca4d1c,sha256,command_and_control,low,internal_soc_export,2026-06-21T19:00:00,suspicious
192.0.2.113,ipv4,command_and_control,critical,internal_soc_export,2026-07-09T09:00:00,malicious
cdn232.example.com,domain,command_and_control,medium,internal_soc_export,2026-06-09T05:00:00,suspicious
203.0.113.152,ipv4,botnet,high,internal_soc_export,2026-07-11T13:00:00,suspicious
d0675b343fda504be081ba36fdeff28bb64374f1e4b31e670a7bbf95aa1ee2e2,sha256,command_and_control,medium,opensource_feed_b,2026-06-07T08:00:00,malicious
mail235.example.com,domain,scanning,low,opensource_feed_b,2026-06-18T16:00:00,benign
cdn236.example.com,domain,malware_delivery,high,opensource_feed_a,2026-07-22T02:00:00,malicious
http://files237.example.org/login,url,data_exfiltration,high,internal_soc_export,2026-06-02T12:00:00,malicious
http://account238.example.org/download,url,scanning,critical,opensource_feed_b,2026-06-14T01:00:00,malicious
d40e19cf00d9fc4ccadbf97c6c18787ef4e17ebd,sha1,brute_force,medium,opensource_feed_a,2026-06-13T15:00:00,benign
mail240.example.com,domain,command_and_control,medium,internal_soc_export,2026-07-19T18:00:00,suspicious
static241.example.com,domain,unknown,high,opensource_feed_a,2026-06-08T07:00:00,benign
update242.example.com,domain,scanning,medium,opensource_feed_b,2026-06-02T22:00:00,suspicious
c57575feda97862498165dd134f7f7001fe9e7bdf9ac16f019f2e168b4680723,sha256,command_and_control,high,internal_soc_export,2026-07-12T02:00:00,malicious
22d5b18c883b071501c4a6f03c50eb3f,md5,data_exfiltration,medium,internal_soc_export,2026-06-02T15:00:00,suspicious
df188638a98d291e7f585c0654457ef14ed0b99e,sha1,phishing,high,internal_soc_export,2026-07-03T11:00:00,suspicious
1e1e402a4e5eab13a963103ff79c1df8,md5,unknown,medium,opensource_feed_a,2026-06-01T03:00:00,benign
192.0.2.214,ipv4,botnet,medium,opensource_feed_a,2026-06-07T18:00:00,suspicious
97b9e4a900a945dcd5272adf42a1e42e,md5,data_exfiltration,critical,opensource_feed_b,2026-06-12T00:00:00,malicious
198.51.100.150,ipv4,phishing,medium,opensource_feed_b,2026-07-01T07:00:00,suspicious
192.0.2.64,ipv4,brute_force,low,internal_soc_export,2026-06-12T14:00:00,benign
api251.example.com,domain,malware_delivery,high,opensource_feed_b,2026-07-18T12:00:00,malicious
http://files252.example.org/a,url,brute_force,medium,opensource_feed_a,2026-06-21T22:00:00,benign
43a62b20d42904a1fec9e8e28efafb9bbd77e4c71d9da6a20d037e3f841091df,sha256,scanning,critical,opensource_feed_a,2026-08-01T06:00:00,suspicious
198.51.100.152,ipv4,brute_force,high,opensource_feed_b,2026-06-08T12:00:00,suspicious
192.0.2.165,ipv4,data_exfiltration,medium,internal_soc_export,2026-06-29T05:00:00,suspicious
192.0.2.17,ipv4,unknown,critical,opensource_feed_b,2026-06-08T05:00:00,benign
http://verify257.example.org/download,url,phishing,medium,opensource_feed_b,2026-08-10T09:00:00,suspicious
login258.example.com,domain,data_exfiltration,high,opensource_feed_a,2026-06-22T10:00:00,malicious
login259.example.com,domain,unknown,low,internal_soc_export,2026-07-28T00:00:00,benign
198.51.100.15,ipv4,unknown,high,opensource_feed_b,2026-06-23T20:00:00,suspicious
198.51.100.30,ipv4,malware_delivery,high,opensource_feed_a,2026-08-08T07:00:00,malicious
203.0.113.105,ipv4,unknown,high,opensource_feed_b,2026-07-09T15:00:00,suspicious
static263.example.com,domain,malware_delivery,high,internal_soc_export,2026-07-21T18:00:00,suspicious
198.51.100.158,ipv4,botnet,medium,opensource_feed_a,2026-07-25T05:00:00,suspicious
ffe287acb8ec6948a76e2aa8fa7a1a9c3d6eefe0,sha1,botnet,high,opensource_feed_a,2026-07-23T11:00:00,malicious
cdn266.example.com,domain,unknown,critical,opensource_feed_a,2026-06-29T04:00:00,suspicious
